sp_code, sp_name
ACFL,Acadian Flycatcher
ALFL,Alder Flycatcher
AMAV,American Avocet
AMBI,American Bittern
ABDU,American Black Duck
AMCO,American Coot
AMCR,American Crow
AMDI,American Dipper
AGPL,American Golden-Plover
AMGO,American Goldfinch
AMKE,American Kestrel
AMPI,American Pipit
AMRE,American Redstart
AMRO,American Robin
ATTW,American Three-toed Woodpecker
ATSP,American Tree Sparrow
AWPE,American White Pelican
AMWI,American Wigeon
AMWO,American Woodcock
ANMU,Ancient Murrelet
ANHU,Anna\'s Hummingbird
ARTE,Arctic Tern
ATPU,Atlantic Puffin
AUWA,Audubon\'s Warbler
BASA,Baird\'s Sandpiper
BASP,Baird\'s Sparrow
BAEA,Bald Eagle
BAOR,Baltimore Oriole
BTPI,Band-tailed Pigeon
BKSW,Bank Swallow
BNOW,Barn Owl
BASW,Barn Swallow
BDOW,Barred Owl
BAGO,Barrow\'s Goldeneye
BAYW,Bay-breasted Warbler
BEKI,Belted Kingfisher
BEWR,Bewick\'s Wren
BITH,Bicknell\'s Thrush
BLGU,Black Guillemot
BLOY,Black Oystercatcher
BLSC,Black Scoter
BLSW,Black Swift
BLTE,Black Tern
BAWW,Black-and-white Warbler
BBWO,Black-backed Woodpecker
BBPL,Black-bellied Plover
BBCU,Black-billed Cuckoo
BBMA,Black-billed Magpie
BCCH,Black-capped Chickadee
BCHU,Black-chinned Hummingbird
BCNH,Black-crowned Night-Heron
BHGR,Black-headed Grosbeak
BHGU,Black-headed Gull
BLKI,Black-legged Kittiwake
BNST,Black-necked Stilt
BTBW,Black-throated Blue Warbler
BTGW,Black-throated Gray Warbler
BTNW,Black-throated Green Warbler
BBNW,Blackburnian Warbler
BKPW,Blackpoll Warbler
BGRO,Blue Grouse (Sooty or Dusky)
BLJA,Blue Jay
BGGN,Blue-gray Gnatcatcher
BHVI,Blue-headed Vireo
BWTE,Blue-winged Teal
BWWA,Blue-winged Warbler
BOBO,Bobolink
BOWA,Bohemian Waxwing
BOGU,Bonaparte\'s Gull
BOCH,Boreal Chickadee
BOOW,Boreal Owl
BRCO,Brandt\'s Cormorant
BRAN,Brant
BRBL,Brewer\'s Blackbird
BRSP,Brewer\'s Sparrow
BWHA,Broad-winged Hawk
BRCR,Brown Creeper
BRTH,Brown Thrasher
BHCO,Brown-headed Cowbird
BBSA,Buff-breasted Sandpiper
BUFF,Bufflehead
BUOR,Bullock\'s Oriole
BUOW,Burrowing Owl
BUSH,Bushtit
CAGU,California Gull
CAQU,California Quail
CAHU,Calliope Hummingbird
CAGO,Canada Goose
CAWA,Canada Warbler
CANV,Canvasback
CAWR,Canyon Wren
CMWA,Cape May Warbler
CARW,Carolina Wren
CATE,Caspian Tern
CAAU,Cassin\'s Auklet
CAFI,Cassin\'s Finch
CAVI,Cassin\'s Vireo
