"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
21,"10CA64","Arctic Tern","DD","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
25,"10DC04","Arctic Tern","FY","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
25,"10DC05","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
31,"09XC77","Arctic Tern","AE","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
33,"09WD65","Arctic Tern","H","POSS",1,1,6.67,0.0667,1,"#FFFF00","#FFFF00"
33,"09XC09","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
33,"09XD20","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"07FG63","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"07FG64","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LL39","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LL49","Arctic Tern","DD","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08LL59","Arctic Tern","DD","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08LM30","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LM31","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LM33","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LM34","Arctic Tern","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08LM45","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08LM71","Arctic Tern","FY","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08LM73","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Arctic Tern","DD","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM03","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM04","Arctic Tern","AE","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM10","Arctic Tern","A","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08MM11","Arctic Tern","NY","CONF",1,1,6.25,0.0625,1,"#FF0000","#FF0000"
37,"08MM12","Arctic Tern","A","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08MM13","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM92","Arctic Tern","AE","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM93","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NK89","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NL55","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NL57","Arctic Tern","A","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08NL67","Arctic Tern","NY","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08NL79","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NL80","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NL88","Arctic Tern","H","POSS",1,1,4.17,0.0417,1,"#FFFF00","#FFFF00"
37,"08NL90","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NL91","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NM02","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NM14","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NM41","Arctic Tern","A","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08NM62","Arctic Tern","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08NM70","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NM71","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08NM81","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08PK57","Arctic Tern","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
37,"08PL21","Arctic Tern","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08PM01","Arctic Tern","NY","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08PM02","Arctic Tern","NY","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
