"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","1","11NQ79","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"2","1","11NQ88","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"3","1","11NQ89","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"4","1","11NR70","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"5","1","11NR80","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"6","1","11NR82","Black-chinned Hummingbird","D","PROB","1","1","10.0","0.2","1","#FFFF00","#FFFF00"
"7","1","11NR85","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"8","1","11NR90","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"9","1","11NR91","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"10","1","11NR92","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"11","1","11PQ08","Black-chinned Hummingbird","H","POSS","1","1","5.88","0.1176","1","#FFA500","#FFA500"
"12","1","11PQ09","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"13","1","11PQ18","Black-chinned Hummingbird","NE","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"14","1","11PQ25","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"15","1","11PQ34","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"16","1","11PQ36","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"17","1","11PQ43","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"18","2","11NR69","Black-chinned Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"19","2","11NR79","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"20","2","11NR87","Black-chinned Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"21","2","11NR88","Black-chinned Hummingbird","H","POSS","1","1","5.0","0.05","1","#FFA500","#FFA500"
