"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11NQ59","Brown Creeper","S","POSS","1","1",7.69,0.0769,1,"#FFA500","#FFA500"
"1","11NQ79","Brown Creeper","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ87","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ89","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR63","Brown Creeper","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"1","11NR70","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR84","Brown Creeper","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"1","11NR94","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ15","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ16","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ74","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ84","Brown Creeper","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR00","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR45","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR50","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR60","Brown Creeper","M","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"2","11NR59","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR79","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR87","Brown Creeper","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"2","11NR99","Brown Creeper","H","POSS","1","1",1.47,0.0147,1,"#FFA500","#FFA500"
"2","11NS23","Brown Creeper","H","POSS","1","1",4.55,0.0455,1,"#FFA500","#FFA500"
"2","11NS24","Brown Creeper","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NS33","Brown Creeper","H","POSS","1","4",12.9,0.129,1,"#FFA500","#FFA500"
