"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11NQ86","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ87","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ88","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ89","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ98","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ99","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR75","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR80","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR81","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR84","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR85","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR90","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR91","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NR92","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR94","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ08","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ09","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ17","Bufflehead","FY","CONF","1","3",20,0.5333,1,"#FF0000","#FF0000"
"1","11PQ25","Bufflehead","FY","CONF","1","1",10,0.4,1,"#FF0000","#FF0000"
"1","11PQ33","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ36","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ43","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ83","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ84","Bufflehead","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PR53","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR54","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"2","11NR66","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR68","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"2","11NR69","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"2","11NR76","Bufflehead","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR77","Bufflehead","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
