"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","1","11NQ59","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"2","1","11NQ79","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"3","1","11NQ88","Calliope Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"4","1","11NR74","Calliope Hummingbird","D","PROB","1","1","10.0","0.3","1","#FFFF00","#FFFF00"
"5","1","11NR80","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"6","1","11NR85","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"7","1","11NR91","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"8","1","11NR92","Calliope Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"9","1","11PQ07","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"10","1","11PQ17","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"11","1","11PQ18","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"12","1","11PQ25","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"13","1","11PQ27","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"14","1","11PQ28","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"15","1","11PQ34","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"16","1","11PQ35","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"17","1","11PQ36","Calliope Hummingbird","D","PROB","1","2","20.0","0.2","1","#FFFF00","#FFFF00"
"18","1","11PQ38","Calliope Hummingbird","D","PROB","1","1","5.0","0.05","1","#FFFF00","#FFFF00"
"19","1","11PQ39","Calliope Hummingbird","H","POSS","1","1","10.0","0.1","1","#FFA500","#FFA500"
"20","1","11PQ42","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"21","1","11PQ43","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"22","1","11PQ46","Calliope Hummingbird","D","PROB","1","1","6.67","0.1333","1","#FFFF00","#FFFF00"
"23","1","11PQ47","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"24","1","11PQ48","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"25","1","11PQ49","Calliope Hummingbird","H","POSS","1","1","10.0","0.1","1","#FFA500","#FFA500"
"26","1","11PQ58","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"27","1","11PQ66","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"28","1","11PQ74","Calliope Hummingbird","H","POSS","1","1","6.25","0.0625","1","#FFA500","#FFA500"
"29","1","11PR00","Calliope Hummingbird","M","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"30","1","11PR01","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"31","1","11PR05","Calliope Hummingbird","H","POSS","1","1","5.56","0.0556","1","#FFA500","#FFA500"
"32","1","11PR20","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"33","1","11PR50","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"34","2","11NR76","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"35","2","11NR77","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"36","2","11NR79","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"37","2","11NR96","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"38","2","11NR97","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"39","2","11NS43","Calliope Hummingbird","H","POSS","1","1","4.35","0.0435","1","#FFA500","#FFA500"
"40","2","11NS44","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"41","2","11NS60","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"42","2","11NS65","Calliope Hummingbird","A","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"43","2","11NS67","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"44","3","11NQ03","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"45","3","11NQ05","Calliope Hummingbird","H","POSS","1","1","3.33","0.0333","1","#FFA500","#FFA500"
"46","3","11NQ14","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"47","3","11NQ17","Calliope Hummingbird","S","POSS","1","2","66.67","1.0","1","#FFA500","#FFA500"
"48","3","11NQ18","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"49","3","11NQ23","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"50","3","11NQ24","Calliope Hummingbird","D","PROB","1","1","5.56","0.0556","1","#FFFF00","#FFFF00"
"51","3","11NQ32","Calliope Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"52","3","11NQ33","Calliope Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"53","3","11NQ34","Calliope Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"54","3","11NQ43","Calliope Hummingbird","D","PROB","1","1","8.33","0.0833","1","#FFFF00","#FFFF00"
"55","3","11NQ53","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"56","3","11NQ54","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"57","3","11NQ63","Calliope Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"58","3","11NR10","Calliope Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
