"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
1,"11NQ59","Cassin's Vireo","S","POSS",1,3,23.08,0.3077,1,"#FFFF00","#FFFF00"
1,"11NQ69","Cassin's Vireo","S","POSS",1,6,50,0.6667,1,"#FFFF00","#FFFF00"
1,"11NQ74","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NQ77","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NQ79","Cassin's Vireo","S","POSS",1,2,14.29,0.1429,1,"#FFFF00","#FFFF00"
1,"11NQ86","Cassin's Vireo","S","POSS",1,3,25,0.3333,1,"#FFFF00","#FFFF00"
1,"11NQ87","Cassin's Vireo","S","POSS",1,4,28.57,0.3571,1,"#FFFF00","#FFFF00"
1,"11NQ88","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11NQ89","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11NQ97","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11NQ98","Cassin's Vireo","S","POSS",1,7,46.67,0.6,1,"#FFFF00","#FFFF00"
1,"11NQ99","Cassin's Vireo","T","PROB",1,5,29.41,0.3529,1,"#FFA500","#FFA500"
1,"11NR65","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11NR70","Cassin's Vireo","T","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NR74","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NR75","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NR80","Cassin's Vireo","M","PROB",1,3,30,0.3,1,"#FFA500","#FFA500"
1,"11NR81","Cassin's Vireo","M","PROB",1,4,36.36,0.3636,1,"#FFA500","#FFA500"
1,"11NR82","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NR83","Cassin's Vireo","M","PROB",1,3,27.27,0.3636,1,"#FFA500","#FFA500"
1,"11NR84","Cassin's Vireo","S","POSS",1,5,33.33,0.3333,1,"#FFFF00","#FFFF00"
1,"11NR85","Cassin's Vireo","S","POSS",1,4,26.67,0.3333,1,"#FFFF00","#FFFF00"
1,"11NR90","Cassin's Vireo","M","PROB",1,5,33.33,0.3333,1,"#FFA500","#FFA500"
1,"11NR91","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11NR92","Cassin's Vireo","P","PROB",1,2,33.33,0.6667,1,"#FFA500","#FFA500"
1,"11NR93","Cassin's Vireo","T","PROB",1,8,53.33,0.6667,1,"#FFA500","#FFA500"
1,"11NR94","Cassin's Vireo","S","POSS",1,2,20,0.2,1,"#FFFF00","#FFFF00"
1,"11PQ04","Cassin's Vireo","S","POSS",1,1,8.33,0.0833,1,"#FFFF00","#FFFF00"
1,"11PQ07","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ08","Cassin's Vireo","S","POSS",1,6,35.29,0.4706,1,"#FFFF00","#FFFF00"
1,"11PQ09","Cassin's Vireo","S","POSS",1,6,37.5,0.375,1,"#FFFF00","#FFFF00"
1,"11PQ15","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ16","Cassin's Vireo","S","POSS",1,4,40,0.4,1,"#FFFF00","#FFFF00"
1,"11PQ17","Cassin's Vireo","S","POSS",1,3,20,0.2,1,"#FFFF00","#FFFF00"
1,"11PQ18","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11PQ23","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ25","Cassin's Vireo","M","PROB",1,4,40,0.4,1,"#FFA500","#FFA500"
1,"11PQ27","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ33","Cassin's Vireo","S","POSS",1,3,30,0.3,1,"#FFFF00","#FFFF00"
1,"11PQ34","Cassin's Vireo","M","PROB",1,4,40,0.5,1,"#FFA500","#FFA500"
1,"11PQ35","Cassin's Vireo","S","POSS",1,4,40,0.4,1,"#FFFF00","#FFFF00"
1,"11PQ36","Cassin's Vireo","S","POSS",1,2,20,0.2,1,"#FFFF00","#FFFF00"
1,"11PQ38","Cassin's Vireo","AE","CONF",1,2,10,0.2,1,"#FF0000","#FF0000"
1,"11PQ39","Cassin's Vireo","S","POSS",1,1,10,0.1,1,"#FFFF00","#FFFF00"
1,"11PQ42","Cassin's Vireo","S","POSS",1,2,66.67,0.6667,1,"#FFFF00","#FFFF00"
1,"11PQ43","Cassin's Vireo","M","PROB",1,1,10,0.1,1,"#FFA500","#FFA500"
1,"11PQ45","Cassin's Vireo","S","POSS",1,1,6.67,0.0667,1,"#FFFF00","#FFFF00"
1,"11PQ47","Cassin's Vireo","M","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11PQ48","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ49","Cassin's Vireo","M","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11PQ56","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PQ68","Cassin's Vireo","NB","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
1,"11PQ73","Cassin's Vireo","S","POSS",1,4,26.67,0.2667,1,"#FFFF00","#FFFF00"
1,"11PQ74","Cassin's Vireo","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
1,"11PQ75","Cassin's Vireo","S","POSS",1,1,5.88,0.0588,1,"#FFFF00","#FFFF00"
1,"11PQ83","Cassin's Vireo","S","POSS",1,4,20,0.2,1,"#FFFF00","#FFFF00"
1,"11PQ84","Cassin's Vireo","D","PROB",1,3,18.75,0.375,1,"#FFA500","#FFA500"
1,"11PQ93","Cassin's Vireo","S","POSS",1,2,11.11,0.1111,1,"#FFFF00","#FFFF00"
1,"11PQ94","Cassin's Vireo","S","POSS",1,1,6.25,0.0625,1,"#FFFF00","#FFFF00"
1,"11PR00","Cassin's Vireo","S","POSS",1,2,13.33,0.1333,1,"#FFFF00","#FFFF00"
1,"11PR05","Cassin's Vireo","S","POSS",1,2,11.11,0.1111,1,"#FFFF00","#FFFF00"
1,"11PR20","Cassin's Vireo","S","POSS",1,1,5,0.05,1,"#FFFF00","#FFFF00"
1,"11PR30","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR42","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR44","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR46","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR47","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR51","Cassin's Vireo","M","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11PR52","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR53","Cassin's Vireo","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
1,"11PR60","Cassin's Vireo","M","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
2,"11NR67","Cassin's Vireo","S","POSS",1,2,20,0.3,1,"#FFFF00","#FFFF00"
2,"11NR68","Cassin's Vireo","T","PROB",1,1,10,0.1,1,"#FFA500","#FFA500"
2,"11NR69","Cassin's Vireo","T","PROB",1,1,6.67,0.0667,1,"#FFA500","#FFA500"
2,"11NR76","Cassin's Vireo","T","PROB",1,1,10,0.1,1,"#FFA500","#FFA500"
2,"11NR77","Cassin's Vireo","M","PROB",1,4,23.53,0.2353,1,"#FFA500","#FFA500"
2,"11NR78","Cassin's Vireo","M","PROB",1,4,26.67,0.2667,1,"#FFA500","#FFA500"
2,"11NR79","Cassin's Vireo","S","POSS",1,2,13.33,0.1333,1,"#FFFF00","#FFFF00"
2,"11NR86","Cassin's Vireo","M","PROB",1,6,40,0.4667,1,"#FFA500","#FFA500"
2,"11NR87","Cassin's Vireo","S","POSS",1,2,13.33,0.1333,1,"#FFFF00","#FFFF00"
