"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR80","Least Bittern","T","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
