"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11NQ77","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NQ85","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ87","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR65","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR70","Northern Goshawk","P","PROB","1","2",9.52,0.0952,1,"#FFFF00","#FFFF00"
"1","11NR71","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11NR75","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR85","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ03","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ04","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ17","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ55","Northern Goshawk","P","PROB","1","1",7.14,0.1429,1,"#FFFF00","#FFFF00"
"1","11PQ57","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ67","Northern Goshawk","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PQ83","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PR00","Northern Goshawk","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11PR46","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PR60","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PR61","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR47","Northern Goshawk","H","POSS","1","1",8.33,0.0833,1,"#FFA500","#FFA500"
"2","11NR66","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR99","Northern Goshawk","H","POSS","1","1",1.47,0.0147,1,"#FFA500","#FFA500"
"2","11NS22","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NS24","Northern Goshawk","NU","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"2","11NS53","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NS62","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NS72","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"3","11NQ06","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"3","11NR10","Northern Goshawk","H","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"4","11MQ33","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ44","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ45","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ77","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ78","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ85","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ86","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MQ95","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"4","11MR35","Northern Goshawk","T","PROB","1","2",3.39,0.0339,1,"#FFFF00","#FFFF00"
"4","11MR40","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"4","11MR55","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ08","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ09","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ15","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ16","Northern Goshawk","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11LQ18","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ19","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ25","Northern Goshawk","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"5","11LQ26","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11LQ27","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ28","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ33","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ34","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11LQ43","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11LQ49","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ66","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ69","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LR30","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LR70","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR21","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR22","Northern Goshawk","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"6","11LR43","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR52","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR63","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"7","11LR08","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR47","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR86","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA53","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA64","Northern Goshawk","A","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"8","10FA76","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FA89","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FB96","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FC96","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10GC03","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"10","11LS13","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"10","11LS24","Northern Goshawk","H","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"10","11LS31","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"10","11LS40","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"10","11LS42","Northern Goshawk","H","POSS","1","1",6.25,0.0625,1,"#FFA500","#FFA500"
"10","11LS53","Northern Goshawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
