"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11NQ59","Pacific Wren","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ69","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ74","Pacific Wren","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"1","11NQ86","Pacific Wren","S","POSS","1","2",16.67,0.3333,1,"#FFA500","#FFA500"
"1","11NQ87","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NQ97","Pacific Wren","S","POSS","1","1",10,0.1,1,"#FFA500","#FFA500"
"1","11NQ98","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR63","Pacific Wren","M","PROB","1","8",53.33,0.6,1,"#FFFF00","#FFFF00"
"1","11NR65","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR70","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR74","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR80","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR84","Pacific Wren","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"1","11NR85","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR90","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11NR93","Pacific Wren","CF","CONF","1","1",6.67,0.0667,1,"#FF0000","#FF0000"
"1","11NR94","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ04","Pacific Wren","H","POSS","1","1",8.33,0.0833,1,"#FFA500","#FFA500"
"1","11PQ07","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ09","Pacific Wren","S","POSS","1","2",12.5,0.125,1,"#FFA500","#FFA500"
"1","11PQ16","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ17","Pacific Wren","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ18","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ19","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ38","Pacific Wren","M","PROB","1","1",5,0.1,1,"#FFFF00","#FFFF00"
"1","11PQ39","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ47","Pacific Wren","M","PROB","1","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"1","11PQ48","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ49","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ55","Pacific Wren","S","POSS","1","1",7.14,0.0714,1,"#FFA500","#FFA500"
"1","11PQ56","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ57","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ58","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ64","Pacific Wren","S","POSS","1","7",46.67,0.4667,1,"#FFA500","#FFA500"
"1","11PQ65","Pacific Wren","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ66","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ67","Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"1","11PQ68","Pacific Wren","M","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ73","Pacific Wren","S","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"1","11PQ74","Pacific Wren","M","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"1","11PQ75","Pacific Wren","S","POSS","1","2",11.76,0.1176,1,"#FFA500","#FFA500"
