"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"2","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"3","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"4","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"5","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"6","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"7","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"8","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"9","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"10","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"11","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"12","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"13","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"14","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"15","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"16","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"17","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"18","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"19","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"20","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"21","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"22","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"23","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"24","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"25","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"26","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"27","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"28","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"29","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"30","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"31","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"32","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"33","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"34","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"35","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"36","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"37","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"38","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"39","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"40","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"41","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"42","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"43","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"44","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"45","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"46","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"47","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"48","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"49","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"50","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"51","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"52","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"53","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"54","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"55","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"56","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"57","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"58","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"59","41","10FH43","Ruby-throated Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"60","41","10FH52","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"61","40","10EL76","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"62","41","10EG25","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"63","41","10EG99","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"64","41","10EH71","Ruby-throated Hummingbird","H","POSS","1","1","0.44","0.0044","1","#FFA500","#FFA500"
"65","41","10FG09","Ruby-throated Hummingbird","T","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"66","41","10FG21","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"67","41","10FG38","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"68","41","10FG47","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"69","41","10FG58","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"70","41","10FG85","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"71","41","10FG87","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"72","41","10FH24","Ruby-throated Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"73","41","10FH42","Ruby-throated Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
