"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
38,"09WD19","Smith's Longspur","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
40,"10CM53","Smith's Longspur","S","POSS",1,5,6.85,0.0685,1,"#FFFF00","#FFFF00"
40,"10CM62","Smith's Longspur","P","PROB",1,6,22.22,0.2593,1,"#FFA500","#FFA500"
