"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM02","Snow Bunting","S","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM10","Snow Bunting","CF","CONF",1,NA,NA,NA,NA,"#FF0000","#FF0000"
37,"08MM11","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
37,"08MM81","Snow Bunting","B","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
40,"10DL00","Snow Bunting","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
