"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"2","11NR77","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NR99","Swainson's Hawk","","","","1",1.47,0.0147,1,"#FFFF00","#FFFF00"
"2","11NS42","Swainson's Hawk","","","","1",2.78,0.0278,1,"#FFFF00","#FFFF00"
"5","11LQ09","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"5","11LQ33","Swainson's Hawk","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"5","11LQ43","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR22","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"6","11LR23","Swainson's Hawk","AE","CONF","1","1",6.25,0.1875,1,"#FF0000","#FF0000"
"6","11LR32","Swainson's Hawk","H","POSS","1","2",13.33,0.1333,1,"#FFA500","#FFA500"
"6","11LR33","Swainson's Hawk","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"7","11LR09","Swainson's Hawk","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"7","11LR36","Swainson's Hawk","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"7","11LR38","Swainson's Hawk","H","POSS","1","1",6.67,0.0667,1,"#FFA500","#FFA500"
"7","11LR39","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR46","Swainson's Hawk","H","POSS","1","1",10,0.2,1,"#FFA500","#FFA500"
"7","11LR47","Swainson's Hawk","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"7","11LR48","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"7","11LR49","Swainson's Hawk","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"7","11LR56","Swainson's Hawk","NY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"7","11LR66","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA45","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA55","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA65","Swainson's Hawk","A","PROB","1","2",11.76,0.1176,1,"#FFFF00","#FFFF00"
"8","10FA74","Swainson's Hawk","H","POSS","1","1",5.88,0.0588,1,"#FFA500","#FFA500"
"8","10FA75","Swainson's Hawk","H","POSS","1","2",12.5,0.1875,1,"#FFA500","#FFA500"
"8","10FA76","Swainson's Hawk","P","PROB","1","",NA,NA,NA,"#FFFF00","#FFFF00"
"8","10FA84","Swainson's Hawk","P","PROB","1","3",17.65,0.1765,1,"#FFFF00","#FFFF00"
"8","10FA85","Swainson's Hawk","NE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10FA86","Swainson's Hawk","NY","CONF","1","1",6.25,0.125,1,"#FF0000","#FF0000"
"8","10FA88","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"8","10FA95","Swainson's Hawk","CF","CONF","1","2",13.33,0.1333,1,"#FF0000","#FF0000"
"8","10FA96","Swainson's Hawk","AE","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"8","10GA06","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FA99","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FB22","Swainson's Hawk","FY","CONF","1","",NA,NA,NA,"#FF0000","#FF0000"
"9","10FB32","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"9","10FB42","Swainson's Hawk","H","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
