"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
1,"11NQ88","White-headed Woodpecker","H","POSS",1,NA,NA,NA,NA,"#FFFF00","#FFFF00"
5,"11LQ24","White-headed Woodpecker","P","PROB",1,NA,NA,NA,NA,"#FFA500","#FFA500"
