"Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"1","11PR00","Winter/Pacific Wren","","","","2",13.33,0.1333,1,"#FFFF00","#FFFF00"
"1","11PR26","Winter/Pacific Wren","","","","6",23.08,0.2692,1,"#FFFF00","#FFFF00"
"2","11NR39","Winter/Pacific Wren","","","","2",15.38,0.1538,1,"#FFFF00","#FFFF00"
"2","11NS22","Winter/Pacific Wren","","","","1",5.88,0.0588,1,"#FFFF00","#FFFF00"
"2","11NS23","Winter/Pacific Wren","","","","2",9.09,0.0909,1,"#FFFF00","#FFFF00"
"2","11NS30","Winter/Pacific Wren","","","","2",16.67,0.1667,1,"#FFFF00","#FFFF00"
"2","11NS33","Winter/Pacific Wren","","","","8",25.81,0.2581,1,"#FFFF00","#FFFF00"
"2","11NS40","Winter/Pacific Wren","","","","5",10.42,0.1042,1,"#FFFF00","#FFFF00"
"2","11NS42","Winter/Pacific Wren","","","","1",2.78,0.0278,1,"#FFFF00","#FFFF00"
"2","11NS43","Winter/Pacific Wren","","","","1",4.35,0.0435,1,"#FFFF00","#FFFF00"
"2","11NS52","Winter/Pacific Wren","","","","1",3.23,0.0323,1,"#FFFF00","#FFFF00"
"2","11NS56","Winter/Pacific Wren","","","","4",26.67,0.2667,1,"#FFFF00","#FFFF00"
"2","11NS63","Winter/Pacific Wren","S","POSS","1","",NA,NA,NA,"#FFA500","#FFA500"
"2","11NS66","Winter/Pacific Wren","","","","3",16.67,0.1667,1,"#FFFF00","#FFFF00"
"2","11NS70","Winter/Pacific Wren","","","","3",33.33,0.3333,1,"#FFFF00","#FFFF00"
"2","11NS71","Winter/Pacific Wren","","","","3",13.64,0.1364,1,"#FFFF00","#FFFF00"
"2","11NS72","Winter/Pacific Wren","S","POSS","1","4",11.11,0.1111,1,"#FFA500","#FFA500"
"2","11NS81","Winter/Pacific Wren","","","","1",3.33,0.0333,1,"#FFFF00","#FFFF00"
"2","11NS82","Winter/Pacific Wren","","","","3",21.43,0.2143,1,"#FFFF00","#FFFF00"
"2","11NS92","Winter/Pacific Wren","","","","2",4.65,0.0465,1,"#FFFF00","#FFFF00"
"2","11PR19","Winter/Pacific Wren","","","","3",10.71,0.1429,1,"#FFFF00","#FFFF00"
"2","11PR27","Winter/Pacific Wren","","","","3",9.68,0.0968,1,"#FFFF00","#FFFF00"
"3","11NQ04","Winter/Pacific Wren","","","","4",33.33,0.3333,1,"#FFFF00","#FFFF00"
"3","11NQ06","Winter/Pacific Wren","","","","8",26.67,0.2667,1,"#FFFF00","#FFFF00"
"3","11NQ14","Winter/Pacific Wren","","","","2",18.18,0.1818,1,"#FFFF00","#FFFF00"
"3","11NQ15","Winter/Pacific Wren","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"3","11NQ24","Winter/Pacific Wren","","","","1",5.56,0.0556,1,"#FFFF00","#FFFF00"
"3","11NQ25","Winter/Pacific Wren","","","","1",3.23,0.0323,1,"#FFFF00","#FFFF00"
"4","11LR94","Winter/Pacific Wren","","","","2",12.5,0.125,1,"#FFFF00","#FFFF00"
"4","11MQ67","Winter/Pacific Wren","","","","1",5.88,0.0588,1,"#FFFF00","#FFFF00"
"4","11MQ94","Winter/Pacific Wren","","","","6",26.09,0.3043,1,"#FFFF00","#FFFF00"
"4","11MQ95","Winter/Pacific Wren","","","","6",15.79,0.1579,1,"#FFFF00","#FFFF00"
"4","11MQ96","Winter/Pacific Wren","","","","5",33.33,0.3333,1,"#FFFF00","#FFFF00"
"4","11MQ97","Winter/Pacific Wren","","","","6",35.29,0.3529,1,"#FFFF00","#FFFF00"
"4","11MR11","Winter/Pacific Wren","","","","1",4.55,0.0455,1,"#FFFF00","#FFFF00"
"8","10FV93","Winter/Pacific Wren","","","","1",10,0.1,1,"#FFFF00","#FFFF00"
"10","11LS51","Winter/Pacific Wren","","","","1",6.67,0.0667,1,"#FFFF00","#FFFF00"
"15","10DV86","Winter/Pacific Wren","H","POSS","1","133",58.85,0.8894,1,"#FFA500","#FFA500"
"15","10DV96","Winter/Pacific Wren","H","POSS","1","26",26.8,0.3402,1,"#FFA500","#FFA500"
"17","10CA79","Winter/Pacific Wren","","","","16",66.67,1.0417,1,"#FFFF00","#FFFF00"
"17","10CA89","Winter/Pacific Wren","","","","12",46.15,0.6923,1,"#FFFF00","#FFFF00"
"17","10CA97","Winter/Pacific Wren","","","","3",27.27,0.2727,1,"#FFFF00","#FFFF00"
"17","10CA98","Winter/Pacific Wren","","","","2",28.57,0.4286,1,"#FFFF00","#FFFF00"
